기업 이름,복지 카테고리,복지 혜택
'스노우(주)'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '체력단련비 지원', '의료비 지원 (본인,가족)', '상해/실손 보험 지원', '사내 병원', '헬스장', '통신비 지원', '자사 제품 직원 할인', '콘도 및 휴양시설 지원', '경조사 지원금', '명절 선물 및 귀향비 지원', '웰컴키트 지급', '선택적 복리후생', '직원 대출 지원', '재택 근무제도', '자율 및 탄력 근무 제도', '야간 교통비 지원', '주차장 및 주차비 지원', '주 4일 / 주 4.5일 근무', '연차 수당', '야근 및 휴일 특근 수당', '인센티브 및 성과급', '퇴직연금 및 퇴직금', '우리 사주 및 스톡옵션', '장기근속자 금전포상', '반차 및 시간제 연차 사용', '결혼/장례 등 경조사 휴가', '병가 (유급/무급)', '리프레쉬/장기근속 휴가', '창립 기념일 휴무', '휴직 (유급/무급)', '보건 휴가', '본인 출산 휴가', '육아 휴직', '여름 휴가', '최고 성능 PC/노트북 지원', '업무용 소프트 웨어 제공', '수면실 및 휴게실 운영', '안마실 및 안마 의자 운영', '아침/점심/저녁식사 지원 제공', '구내 식당 및 카페테리아 운영', '무료 간식 및 음료 제공', '어린이집 지원/운영', '스탠딩 책상 지원', '사내 동호회 지원', '기타 자기계발비 지원', '도서구입비 지원', '어학 교육비 지원', '스터디 지원', '붙혀쓰면지원금']"
'유니티테크놀로지스코리아(유)'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '상해/실손 보험 지원', '의료비 지원 (본인,가족)', '체력단련비 지원', '통신비 지원', '경조사 지원금', '명절 선물 및 귀향비 지원', '웰컴키트 지급', '직원 대출 지원', '선택적 복리후생', '콘도 및 휴양시설 지원', '임신/출산 선물', '재택 근무제도', '자율 및 탄력 근무 제도', '유류비 지원', '주차장 및 주차비 지원', '우리 사주 및 스톡옵션', '인센티브 및 성과급', '생일 선물 지원', '우수사원 금전포상', '장기근속자 금전포상', '퇴직연금 및 퇴직금', '야근 및 휴일 특근 수당', '병가 (유급/무급)', '반차 및 시간제 연차 사용', '창립 기념일 휴무', '배우자 출산 휴가', '여름 휴가', '결혼/장례 등 경조사 휴가', '본인 출산 휴가', '리프레쉬/장기근속 휴가', '육아 휴직', '사내 동호회 지원', '안마실 및 안마 의자 운영', '스탠딩 책상 지원', '무료 간식 및 음료 제공', '업무용 소프트 웨어 제공', '최고 성능 PC/노트북 지원', '수면실 및 휴게실 운영', '구내 식당 및 카페테리아 운영', '어학 교육비 지원']"
,,
'(주)에이스프로젝트'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '의료비 지원 (본인,가족)', '체력단련비 지원', '경조사 지원금', '선택적 복리후생', '콘도 및 휴양시설 지원', '웰컴키트 지급', '명절 선물 및 귀향비 지원', '자율 및 탄력 근무 제도', '절반 근무 및 문화 데이', '야간 교통비 지원', '재택 근무제도', '장기근속자 금전포상', '퇴직연금 및 퇴직금', '생일 선물 지원', '청년 내일 채움 공제 지원', '연차 수당', '휴직 (유급/무급)', '반차 및 시간제 연차 사용', '리프레쉬/장기근속 휴가', '결혼/장례 등 경조사 휴가', '병가 (유급/무급)', '보건 휴가', '본인 출산 휴가', '육아 휴직', '임산부 단축근무', '아침/점심/저녁식사 지원 제공', '무료 간식 및 음료 제공', '업무용 소프트 웨어 제공', '사내 동호회 지원', '최고 성능 PC/노트북 지원', '수면실 및 휴게실 운영', '구내 식당 및 카페테리아 운영', '도서구입비 지원', '기타 자기계발비 지원', '컨퍼런스 개최 및 지원', '자격증 취득 지원', '어학 교육비 지원']"
,,
'태그바이컴퍼니(주)'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '통신비 지원', '명절 선물 및 귀향비 지원', '웰컴키트 지급', '넷플릭스 이용권', '자율 및 탄력 근무 제도', '재택 근무제도', '야간 교통비 지원', '절반 근무 및 문화 데이', '청년 내일 채움 공제 지원', '퇴직연금 및 퇴직금', '우리 사주 및 스톡옵션', '인센티브 및 성과급', '반차 및 시간제 연차 사용', '무제한 휴가', '휴가 제한 없음', '무료 간식 및 음료 제공', '도서구입비 지원', '기타 자기계발비 지원', '멘토링 제도 운영']"
'(주)플레이스5'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근']","['건강검진 지원 (본인/배우자)', '경조사 지원금', '주 4일 / 주 4.5일 근무']"
기업 추천 복지,"['SK텔레콤(주)의 특별한 복지', '의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['Happy Friday', 'Work From Anywhere', '해피셰어카', '건강검진 지원 (본인/배우자)', '의료비 지원 (본인,가족)', '체력단련비 지원', '사내 병원', '상해/실손 보험 지원', '사내 헬스장', '체력단련휴가', '통신비 지원', '선택적 복리후생', '명절 선물 및 귀향비 지원', '경조사 지원금', '콘도 및 휴양시설 지원', '자사 제품 직원 할인', '주택 지원 대출', '직원 대출 지원', '웰컴키트 지급', '자녀 학자금 지원', '사택/기숙사 운영 및 지원', '임신/출산 선물', '사내 차량 대여', 'IT 기기 구매 지원금', '자율 및 탄력 근무 제도', '재택 근무제도', '주 4일 / 주 4.5일 근무', '통근버스 운행', '주차장 및 주차비 지원', '절반 근무 및 문화 데이', '야간 교통비 지원', '유류비 지원', '거점오피스 / 공유오피스', '인센티브 및 성과급', '연차 수당', '야근 및 휴일 특근 수당', '퇴직연금 및 퇴직금', '생일 선물 지원', '우리 사주 및 스톡옵션', '우수사원 금전포상', '장기근속자 금전포상', '창립 기념일 휴무', '반차 및 시간제 연차 사용', '결혼/장례 등 경조사 휴가', '병가 (유급/무급)', '리프레쉬/장기근속 휴가', '여름 휴가', '배우자 출산 휴가', '본인 출산 휴가', '육아 휴직', '휴직 (유급/무급)', '임산부 단축근무', '연차(유급)', '구내 식당 및 카페테리아 운영', '아침/점심/저녁식사 지원 제공', '무료 간식 및 음료 제공', '최고 성능 PC/노트북 지원', '안마실 및 안마 의자 운영', '수면실 및 휴게실 운영', '업무용 소프트 웨어 제공', '어린이집 지원/운영', '사내 동호회 지원', '스탠딩 책상 지원', '고급 사무용 의자 제공', '도서구입비 지원', '어학 교육비 지원', '기타 자기계발비 지원', '컨퍼런스 개최 및 지원', '자격증 취득 지원', '대학원, 유학 지원', '본인 학자금 지원', '멘토링 제도 운영']"
'네이버제트(주)'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '사내 병원', '의료비 지원 (본인,가족)', '상해/실손 보험 지원', '경조사 지원금', '선택적 복리후생', '웰컴키트 지급', '자녀 학자금 지원', '명절 선물 및 귀향비 지원', '콘도 및 휴양시설 지원', '재택 근무제도', '야간 교통비 지원', '통근버스 운행', '주차장 및 주차비 지원', '유류비 지원', '자율 및 탄력 근무 제도', '기숙사 및 사택 운영', '주 4일 / 주 4.5일 근무', '절반 근무 및 문화 데이', '야근 및 휴일 특근 수당', '인센티브 및 성과급', '연차 수당', '생일 선물 지원', '반차 및 시간제 연차 사용', '본인 출산 휴가', '리프레쉬/장기근속 휴가', '임산부 단축근무', '무료 간식 및 음료 제공', '수면실 및 휴게실 운영', '구내 식당 및 카페테리아 운영', '최고 성능 PC/노트북 지원', '안마실 및 안마 의자 운영', '아침/점심/저녁식사 지원 제공', '업무용 소프트 웨어 제공', '도서구입비 지원', '어학 교육비 지원', '기타 자기계발비 지원']"
,,
'(주)버즈빌'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '의료비 지원 (본인,가족)', '체력단련비 지원', '상해/실손 보험 지원', '명절 선물 및 귀향비 지원', '경조사 지원금', '임신/출산 선물', '콘도 및 휴양시설 지원', '웰컴키트 지급', '주차장 및 주차비 지원', '자율 및 탄력 근무 제도', '재택 근무제도', '통근버스 운행', '생일 선물 지원', '퇴직연금 및 퇴직금', '우리 사주 및 스톡옵션', '인센티브 및 성과급', '청년 내일 채움 공제 지원', '결혼/장례 등 경조사 휴가', '배우자 출산 휴가', '반차 및 시간제 연차 사용', '병가 (유급/무급)', '육아 휴직', '여름 휴가', '무료 간식 및 음료 제공', '사내 동호회 지원', '수면실 및 휴게실 운영', '아침/점심/저녁식사 지원 제공', '최고 성능 PC/노트북 지원', '업무용 소프트 웨어 제공', '기타 자기계발비 지원', '도서구입비 지원']"
'(주)데이블'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '심리상담', '웰컴키트 지급', '경조사 지원금', '자율 및 탄력 근무 제도', '재택 근무제도', '야간 교통비 지원', '주차장 및 주차비 지원', '주 4일 / 주 4.5일 근무', '절반 근무 및 문화 데이', '우리 사주 및 스톡옵션', '인센티브 및 성과급', '우수사원 금전포상', '생일 선물 지원', '퇴직연금 및 퇴직금', '동료 보너스', '반차 및 시간제 연차 사용', '창립 기념일 휴무', '결혼/장례 등 경조사 휴가', '리프레쉬/장기근속 휴가', '배우자 출산 휴가', '본인 출산 휴가', '병가 (유급/무급)', '육아 휴직', '임산부 단축근무', '무료 간식 및 음료 제공', '애완 동물 친화', '아침/점심/저녁식사 지원 제공', '안마실 및 안마 의자 운영', '스탠딩 책상 지원', '업무용 소프트 웨어 제공', '사내 동호회 지원', '수면실 및 휴게실 운영', '최고 성능 PC/노트북 지원', '도서구입비 지원', '어학 교육비 지원', '기타 자기계발비 지원', '자격증 취득 지원', '컨퍼런스 개최 및 지원']"
'(주)베이글코드'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '무료 진료 지정 병원', '사택/기숙사 운영 및 지원', '콘도 및 휴양시설 지원', '웰컴키트 지급', '야간 교통비 지원', '자율 및 탄력 근무 제도', '재택 근무제도', '주차장 및 주차비 지원', '기숙사 및 사택 운영', '퇴직연금 및 퇴직금', '인센티브 및 성과급', '우리 사주 및 스톡옵션', '생일 선물 지원', '우수사원 금전포상', '반차 및 시간제 연차 사용', '창립 기념일 휴무', '결혼/장례 등 경조사 휴가', '병가 (유급/무급)', '휴직 (유급/무급)', '보건 휴가', '최고 성능 PC/노트북 지원', '스탠딩 책상 지원', '무료 간식 및 음료 제공', '업무용 소프트 웨어 제공', '수면실 및 휴게실 운영', '아침/점심/저녁식사 지원 제공', '도서구입비 지원', '자격증 취득 지원', '컨퍼런스 개최 및 지원', '기타 자기계발비 지원']"
'지오그레이트(주)'의 복지,"['지원 제도', '근무환경', '교육/자기계발']","['웰컴키트 지급', '최고 성능 PC/노트북 지원', '도서구입비 지원']"
'클립소프트(주)'의 복지,"['의료/건강', '지원 제도', '교통/출퇴근', '급여/보상', '연차/휴가', '근무환경', '교육/자기계발']","['건강검진 지원 (본인/배우자)', '상해/실손 보험 지원', '통신비 지원', '명절 선물 및 귀향비 지원', '경조사 지원금', '해외 여행', '해외 워크샵', '야간 교통비 지원', '교통비 지원', '장기근속자 금전포상', '야근 및 휴일 특근 수당', '인센티브 및 성과급', '우수사원 금전포상', '퇴직연금 및 퇴직금', '청년 내일 채움 공제 지원', '생일 선물 지원', '여름 휴가', '결혼/장례 등 경조사 휴가', '병가 (유급/무급)', '리프레쉬/장기근속 휴가', '아침/점심/저녁식사 지원 제공', '사내 동호회 지원', '최고 성능 PC/노트북 지원', '업무용 소프트 웨어 제공', '도서구입비 지원']"
